event,time,magnitude,e_magnitude,upperlimit,band,instrument,telescope,source
SN2011by,55711.3257,18.652,0.145,,UVM2,UVOT,Swift,2014Ap&SS.354...89B
SN2011by,55711.3632,16.693,0.103,,UVW1,UVOT,Swift,2014Ap&SS.354...89B
SN2011by,55712.16,14.8,0.08,,J,,PAIRITEL,2015ApJS..220....9F
SN2011by,55712.16,14.17,0.25,,Ks,,PAIRITEL,2015ApJS..220....9F
SN2011by,55713.1606,15.427,0.061,,U,UVOT,Swift,2014Ap&SS.354...89B
SN2011by,55713.1625,14.849,0.038,,B,UVOT,Swift,2014Ap&SS.354...89B
SN2011by,55713.1641,13.923,0.042,,V,UVOT,Swift,2014Ap&SS.354...89B
SN2011by,55713.2289,18.123,0.127,,UVW2,UVOT,Swift,2014Ap&SS.354...89B
SN2011by,55715.19,13.63,0.05,,H,,PAIRITEL,2015ApJS..220....9F
SN2011by,55715.19,14.64,0.08,,J,,PAIRITEL,2015ApJS..220....9F
SN2011by,55715.19,13.74,0.17,,Ks,,PAIRITEL,2015ApJS..220....9F
SN2011by,55715.7061,18.548,0.149,,UVW2,UVOT,Swift,2014Ap&SS.354...89B
SN2011by,55715.7135,19.025,0.168,,UVM2,UVOT,Swift,2014Ap&SS.354...89B
SN2011by,55715.7196,17.081,0.097,,UVW1,UVOT,Swift,2014Ap&SS.354...89B
SN2011by,55717.0411,15.728,0.065,,U,UVOT,Swift,2014Ap&SS.354...89B
SN2011by,55717.0431,15.256,0.044,,B,UVOT,Swift,2014Ap&SS.354...89B
SN2011by,55717.0452,14.068,0.040,,V,UVOT,Swift,2014Ap&SS.354...89B
SN2011by,55717.1432,18.407,0.140,,UVW2,UVOT,Swift,2014Ap&SS.354...89B
SN2011by,55717.1470,19.057,0.171,,UVM2,UVOT,Swift,2014Ap&SS.354...89B
SN2011by,55717.1499,17.361,0.119,,UVW1,UVOT,Swift,2014Ap&SS.354...89B
SN2011by,55719.2519,18.591,0.154,,UVW2,UVOT,Swift,2014Ap&SS.354...89B
SN2011by,55719.2593,19.008,0.166,,UVM2,UVOT,Swift,2014Ap&SS.354...89B
SN2011by,55719.2653,17.269,0.110,,UVW1,UVOT,Swift,2014Ap&SS.354...89B
SN2011by,55719.6587,15.915,0.067,,U,UVOT,Swift,2014Ap&SS.354...89B
SN2011by,55719.6607,15.410,0.043,,B,UVOT,Swift,2014Ap&SS.354...89B
SN2011by,55719.6633,14.279,0.040,,V,UVOT,Swift,2014Ap&SS.354...89B
SN2011by,55721.3634,18.666,0.160,,UVW2,UVOT,Swift,2014Ap&SS.354...89B
SN2011by,55721.3670,19.019,0.170,,UVM2,UVOT,Swift,2014Ap&SS.354...89B
SN2011by,55721.3696,17.555,0.176,,UVW1,UVOT,Swift,2014Ap&SS.354...89B
SN2011by,55721.6711,16.090,0.069,,U,UVOT,Swift,2014Ap&SS.354...89B
SN2011by,55721.6731,15.613,0.047,,B,UVOT,Swift,2014Ap&SS.354...89B
SN2011by,55721.6765,14.358,0.039,,V,UVOT,Swift,2014Ap&SS.354...89B
SN2011by,55723.4734,18.938,0.159,,UVW2,UVOT,Swift,2014Ap&SS.354...89B
SN2011by,55723.4788,19.191,0.163,,UVM2,UVOT,Swift,2014Ap&SS.354...89B
SN2011by,55723.4833,17.495,0.107,,UVW1,UVOT,Swift,2014Ap&SS.354...89B
SN2011by,55723.6788,16.161,0.070,,U,UVOT,Swift,2014Ap&SS.354...89B
SN2011by,55723.6808,15.702,0.049,,B,UVOT,Swift,2014Ap&SS.354...89B
SN2011by,55723.6834,14.470,0.042,,V,UVOT,Swift,2014Ap&SS.354...89B
SN2011by,55725.2490,17.710,0.106,,UVW1,UVOT,Swift,2014Ap&SS.354...89B
SN2011by,55725.2505,16.269,0.076,,U,UVOT,Swift,2014Ap&SS.354...89B
SN2011by,55725.2512,15.867,0.062,,B,UVOT,Swift,2014Ap&SS.354...89B
SN2011by,55725.2529,18.811,0.153,,UVW2,UVOT,Swift,2014Ap&SS.354...89B
SN2011by,55725.2552,14.656,0.059,,V,UVOT,Swift,2014Ap&SS.354...89B
SN2011by,55725.2577,19.278,0.189,,UVM2,UVOT,Swift,2014Ap&SS.354...89B
SN2011by,55727.0865,17.888,0.153,,UVW1,UVOT,Swift,2014Ap&SS.354...89B
SN2011by,55727.0877,16.279,0.094,,U,UVOT,Swift,2014Ap&SS.354...89B
SN2011by,55727.0883,15.994,0.072,,B,UVOT,Swift,2014Ap&SS.354...89B
SN2011by,55727.0900,19.164,0.249,,UVW2,UVOT,Swift,2014Ap&SS.354...89B
SN2011by,55727.0917,14.664,0.064,,V,UVOT,Swift,2014Ap&SS.354...89B
SN2011by,55727.0943,19.555,0.316,,UVM2,UVOT,Swift,2014Ap&SS.354...89B
SN2011by,55734.2,14.42,0.06,,H,,PAIRITEL,2015ApJS..220....9F
SN2011by,55734.2,15.41,0.03,,J,,PAIRITEL,2015ApJS..220....9F
SN2011by,55734.2,14.4,0.25,,Ks,,PAIRITEL,2015ApJS..220....9F
SN2011by,55735.19,14.4,0.06,,H,,PAIRITEL,2015ApJS..220....9F
SN2011by,55735.19,15.43,0.02,,J,,PAIRITEL,2015ApJS..220....9F
