#CfA3-era Type II SN Natural System Light Curves
#Name	  Band	MJD	     N  NatMag  dMag   Campaign  Camera
SN2005kd  V	54051.39214  1  17.013  0.017  CfA3  KEP
SN2005kd  V	54071.34941  1  17.322  0.024  CfA3  KEP
SN2005kd  V	54089.39353  1  17.663  0.022  CfA3  KEP
SN2005kd  V	54100.17919  1  17.814  0.043  CfA3  KEP
SN2005kd  V	54101.19654  1  17.986  0.043  CfA3  KEP
SN2005kd  V	54102.20586  1  17.921  0.053  CfA3  KEP
SN2005kd  V	54102.30127  1  17.933  0.069  CfA3  KEP
SN2005kd  V	54117.23006  1  18.339  0.032  CfA3  KEP
SN2005kd  V	54139.16438  1  18.762  0.043  CfA3  KEP
SN2005kd  V	54140.21626  1  18.862  0.045  CfA3  KEP
SN2005kd  V	54149.12892  1  19.174  0.055  CfA3  KEP
SN2005kd  V	54153.11569  1  19.122  0.055  CfA3  KEP
SN2005kd  V	54161.12409  1  19.334  0.194  CfA3  KEP
SN2005kd  V	54163.13412  1  19.019  0.167  CfA3  KEP
SN2005kd  V	54178.12873  1  19.512  0.111  CfA3  KEP
SN2005kd  r'	53689.33171  1  15.667  0.036  CfA3  KEP
SN2005kd  r'	53689.37415  1  15.672  0.036  CfA3  KEP
SN2005kd  r'	53690.39390  1  15.357  0.012  CfA3  KEP
SN2005kd  r'	53690.41103  1  15.350  0.013  CfA3  KEP
SN2005kd  r'	53691.41034  1  15.220  0.018  CfA3  KEP
SN2005kd  r'	53692.41293  1  15.144  0.025  CfA3  KEP
SN2005kd  r'	53692.42958  1  15.136  0.026  CfA3  KEP
SN2005kd  r'	53693.42281  1  14.995  0.013  CfA3  KEP
SN2005kd  r'	53694.40957  1  14.932  0.011  CfA3  KEP
SN2005kd  r'	53695.41937  1  14.880  0.013  CfA3  KEP
SN2005kd  r'	53696.41205  1  14.877  0.022  CfA3  KEP
SN2005kd  r'	53697.33862  1  14.855  0.026  CfA3  KEP
SN2005kd  r'	53714.18770  1  14.766  0.013  CfA3  KEP
SN2005kd  r'	53730.36029  1  15.008  0.042  CfA3  KEP
SN2005kd  r'	53764.28418  1  15.102  0.012  CfA3  KEP
